,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6
Client 1,0.99452441179466,0.9967166685246084,0.9913372931047997,0.9972092644876942,0.9961275077823428,0.9939106792290517
Client 2,0.9897047807895071,0.9939385536542356,0.9870747371860282,0.9922013325757499,0.9921963357694087,0.9906420639141652
Client 3,0.9888547275448719,0.988331032319897,0.993531799415202,0.9990436924161809,0.992467778512145,0.9942194595528617
Client 4,0.9866935384344502,0.9930979330221699,0.9910848457421035,0.9964060922804538,0.9934789980316903,0.9931819305855204
Client 5,0.989919446907079,0.9842815744624199,0.9846803067920394,0.9924774355856842,0.9946392711890034,0.9910514087494632
Client 6,0.9919135153249746,0.9842214254721041,0.9841168545489445,0.9973365637051317,0.9964752903153613,0.9924732668993634
