Algorithm,Round,Global_Test_B_Acc,Global_Test_B_Macro_F1,Time_s
FedAvg,1,0.9991657459809249,0.9945869962234316,989.5148022174835
FedAvg,2,0.999309485693671,0.9956959391357385,989.0403916835785
FedAvg,3,0.999478591238078,0.9966324612488646,989.153222322464
FedAvg,4,0.9996082388221235,0.9974841035778077,988.7460989952087
FedAvg,5,0.9996279678023043,0.9975632622937358,989.9264214038849
FedAvg,6,0.9996307862280445,0.9977611743922858,989.2415118217468
FedAvg,7,0.9996026019706433,0.997594311207581,989.1494619846344
FedAvg,8,0.999594146693423,0.9975052288490239,989.2437214851379
FedAvg,9,0.9996617889111857,0.9979825046817473,989.2615225315094
FedAvg,10,0.9996251493765642,0.9977602217262228,988.9611804485321
